,Name,K%,BB%,SwStr%,IP/G,xFIP,ParkFactor
0,,,,,,,
1,Spencer Schwellenbach,0.25977653631284914,4.189944134078212,14.490726020137787,6.133333333333334,3.34439,100
2,Yoshinobu Yamamoto,0.28164556962025317,6.329113924050633,13.617822176375844,5.2,2.85982,101
3,Zack Littell,0.22153846153846155,4.923076923076923,12.260782990108593,5.4,4.00716,101
4,Jesus Luzardo,0.23310810810810811,8.108108108108109,14.75388877050927,5.512820512820513,4.23017,101
5,Jose Soriano,0.2028985507246377,8.695652173913043,10.504596441142683,5.777777777777778,3.81994,100
6,Seth Lugo,0.20380434782608695,5.978260869565218,10.289850740320041,5.977777777777778,3.8299,104
7,Max Meyer,0.19557195571955718,7.380073800738007,11.491935483870968,5.222222222222222,4.43456,100
8,Dean Kremer,0.2057142857142857,9.428571428571429,10.839934565816137,5.333333333333333,4.33774,104
9,Nick Martinez,0.21885521885521886,3.3670033670033668,11.49871958421923,5.088888888888889,3.89093,97
10,Brandon Pfaadt,0.26548672566371684,5.014749262536873,12.346250240987082,5.355555555555555,3.57898,101
11,Gavin Williams,0.23948220064724918,9.70873786407767,11.934302723776408,4.777777777777778,4.12038,100
12,Jake Irvin,0.1786743515850144,8.069164265129682,10.643229516885665,5.377777777777778,4.03471,101
13,Tyler Mahle,0.19402985074626866,11.940298507462686,12.85883026701983,3.5833333333333335,4.56228,101
