,Hitter,SLG,OPS,BB%,K%,RBI%,wOBA,PA/HR
0,,,,,,,,
1,Aaron Judge,0.73,1.1994216417910448,0.14925373134328357,0.2462686567164179,0.2992125984251969,0.5111968503937008,10.307692307692308
2,Elly De La Cruz,0.451,0.7710570342205323,0.07604562737642585,0.311787072243346,0.2608695652173913,0.3383740458015267,29.22222222222222
3,Yordan Alvarez,0.6049999999999999,0.9895212355212354,0.09266409266409266,0.1583011583011583,0.2079207920792079,0.39454761904761904,17.266666666666666
4,Bryce Harper,0.4759999999999999,0.8377276264591439,0.07751937984496124,0.2364341085271318,0.14150943396226415,0.35551968503937004,36.857142857142854
5,Kyle Schwarber,0.528,0.8656581818181819,0.10909090909090909,0.2909090909090909,0.27102803738317754,0.38181751824817517,13.75
6,Corbin Carroll,0.566,0.9006136363636364,0.10943396226415095,0.21509433962264152,0.20175438596491227,0.37954924242424243,17.666666666666668
7,Christian Yelich,0.472,0.8637254901960785,0.12890625,0.18359375,0.21568627450980393,0.3686230158730159,36.57142857142857
8,Trea Turner,0.402,0.6837404580152672,0.04961832061068702,0.16793893129770993,0.17592592592592593,0.3003015267175573,32.75
9,Ketel Marte,0.634,1.0128870967741936,0.13709677419354838,0.17338709677419356,0.2727272727272727,0.4243836734693877,13.052631578947368
10,Eugenio Suarez,0.5660000000000001,0.88592,0.06,0.256,0.2518518518518518,0.3967028112449799,13.157894736842104
11,Jordan Westburg,0.45,0.7165039062499999,0.0390625,0.23046875,0.1532258064516129,0.33040625,21.333333333333332
12,Jarren Duran,0.457,0.7772666666666667,0.05925925925925926,0.21481481481481482,0.1935483870967742,0.3258289962825278,38.57142857142857
13,Rafael Devers,0.405,0.7172075471698113,0.09056603773584905,0.2830188679245283,0.16379310344827586,0.2968108108108108,53.0
14,Cody Bellinger,0.44,0.7408377358490565,0.07169811320754717,0.13584905660377358,0.2534246575342466,0.3194083969465649,26.5
15,Adley Rutschman,0.298,0.5723801652892562,0.09090909090909091,0.1446280991735537,0.17346938775510204,0.2741078838174274,60.5
16,Jose Altuve,0.411,0.7523643122676581,0.08550185873605948,0.17100371747211895,0.13402061855670103,0.33485447761194026,38.42857142857143
17,Christian Walker,0.45,0.7858313253012048,0.07630522088353414,0.2289156626506024,0.1984126984126984,0.32349795918367347,24.9
18,Jazz Chisholm Jr.,0.486,0.8085826771653543,0.07480314960629922,0.24803149606299213,0.16083916083916083,0.3627283464566929,15.875
19,Carlos Correa,0.547,0.9443255813953487,0.07722007722007722,0.15444015444015444,0.2807017543859649,0.37016535433070863,25.9
20,Tyler O'Neill,0.495,0.8083385826771652,0.0984251968503937,0.3346456692913386,0.19642857142857142,0.35625590551181097,15.875
21,Matt McLain,0.615,0.925,0.06896551724137931,0.3793103448275862,0.2,0.3884827586206896,9.666666666666666
22,Alex Bregman,0.519,0.830840909090909,0.04924242424242424,0.15151515151515152,0.11940298507462686,0.35002661596958173,17.6
23,Alec Bohm,0.392,0.7002213438735178,0.05928853754940711,0.1541501976284585,0.19083969465648856,0.30086111111111113,63.25
24,Byron Buxton,0.653,1.0266127659574469,0.05106382978723404,0.225531914893617,0.1984126984126984,0.416025641025641,15.666666666666666
25,Brenton Doyle,0.396,0.6614647302904565,0.06224066390041494,0.24896265560165975,0.21649484536082475,0.2832240663900415,34.42857142857143
26,Paul Goldschmidt,0.478,0.8003029045643154,0.06584362139917696,0.2222222222222222,0.16666666666666666,0.3428916666666667,30.375
27,William Contreras,0.538,0.9053709677419356,0.14112903225806453,0.23387096774193547,0.2,0.36686475409836067,20.666666666666668
28,Josh Naylor,0.419,0.72226,0.096,0.14,0.23015873015873015,0.3281526104417671,31.25
29,Cedric Mullins,0.4620000000000001,0.8283703703703704,0.12162162162162163,0.14414414414414414,0.21782178217821782,0.3825787037037037,20.181818181818183
30,J.T. Realmuto,0.406,0.7180329218106994,0.06584362139917696,0.25102880658436216,0.20175438596491227,0.31306611570247933,34.714285714285715
31,Ezequiel Tovar,0.449,0.7150000000000001,0.026717557251908396,0.2862595419847328,0.17699115044247787,0.2848807692307692,29.11111111111111
32,Austin Wells,0.405,0.7279012345679011,0.11475409836065574,0.20491803278688525,0.19863013698630136,0.3305761316872428,27.11111111111111
33,Lourdes Gurriel Jr.,0.443,0.794702479338843,0.06611570247933884,0.16115702479338842,0.1774193548387097,0.34241493775933607,30.25
34,Wilyer Abreu,0.42,0.7015549999999999,0.105,0.26,0.26436781609195403,0.3506482412060301,25.0
35,Anthony Volpe,0.328,0.5939237288135593,0.05508474576271186,0.2627118644067797,0.17164179104477612,0.27751063829787237,29.5
36,Willi Castro,0.341,0.6257662337662337,0.06465517241379311,0.23275862068965517,0.23232323232323232,0.2917532467532467,38.666666666666664
37,Isaac Paredes,0.304,0.6174979591836736,0.12244897959183673,0.17551020408163265,0.22018348623853212,0.28466938775510203,81.66666666666667
38,Triston Casas,0.489,0.8253480176211453,0.1013215859030837,0.33480176211453744,0.20689655172413793,0.3344955357142857,17.46153846153846
39,Brice Turang,0.312,0.6007982832618026,0.06837606837606838,0.1752136752136752,0.15306122448979592,0.2735086206896552,117.0
40,Nick Castellanos,0.482,0.8188813559322033,0.07203389830508475,0.1906779661016949,0.20588235294117646,0.3562510638297873,26.22222222222222
41,Rhys Hoskins,0.425,0.7123362445414847,0.11304347826086956,0.30434782608695654,0.2066115702479339,0.30736244541484714,20.90909090909091
42,Jeremy Pena,0.387,0.6548148148148147,0.028688524590163935,0.1762295081967213,0.12781954887218044,0.2842107438016529,30.5
43,Matt Wallner,0.544,0.9023973214285714,0.10714285714285714,0.32142857142857145,0.21348314606741572,0.3839375,22.4
44,Bryson Stott,0.373,0.6671441048034935,0.06986899563318777,0.1703056768558952,0.102803738317757,0.30519650655021835,38.166666666666664
45,Yainer Diaz,0.474,0.8138333333333334,0.03875968992248062,0.21705426356589147,0.16666666666666666,0.33599224806201555,32.25
46,Jackson Chourio,0.526,0.881,0.05343511450381679,0.22900763358778625,0.27884615384615385,0.36925096525096524,26.2
47,Ryan McMahon,0.301,0.5666680327868852,0.0860655737704918,0.3155737704918033,0.14942528735632185,0.2512304526748971,48.8
48,Spencer Steer,0.351,0.655,0.1115702479338843,0.21487603305785125,0.21367521367521367,0.2739628099173554,48.4
49,Brandon Marsh,0.421,0.7329056603773585,0.107981220657277,0.3145539906103286,0.1792452830188679,0.3326179245283019,26.625
50,Max Kepler,0.358,0.6379531914893617,0.04680851063829787,0.2127659574468085,0.14423076923076922,0.2949871794871795,47.0
51,Michael Toglia,0.403,0.747934693877551,0.13821138211382114,0.34552845528455284,0.09183673469387756,0.3111885245901639,35.142857142857146
52,TJ Friedl,0.386,0.6851191489361701,0.0759493670886076,0.14345991561181434,0.25961538461538464,0.29508085106382975,29.625
53,Trevor Story,0.394,0.7283538461538462,0.07692307692307693,0.3230769230769231,0.13114754098360656,0.307,43.333333333333336
54,Trevor Larnach,0.445,0.804303317535545,0.10426540284360189,0.23696682464454977,0.17894736842105263,0.34355238095238094,35.166666666666664
55,Jackson Holliday,0.345,0.6180287081339713,0.07177033492822966,0.31100478468899523,0.17475728155339806,0.2827894736842105,34.833333333333336
56,Ben Rice,0.349,0.6036173469387754,0.11734693877551021,0.27040816326530615,0.16,0.29734183673469383,21.77777777777778
57,Edmundo Sosa,0.34,0.617471590909091,0.03954802259887006,0.22598870056497175,0.19101123595505617,0.30650568181818183,59.0
58,Harrison Bader,0.289,0.526,0.05194805194805195,0.21428571428571427,0.21333333333333335,0.25470129870129865,22.0
59,Jeimer Candelario,0.415,0.6655224489795919,0.04081632653061224,0.2530612244897959,0.17796610169491525,0.2790655737704918,22.272727272727273
60,Jasson Dominguez,0.304,0.5962022471910112,0.15730337078651685,0.2696629213483146,0.05555555555555555,0.3047640449438202,29.666666666666668
61,Hunter Goodman,0.422,0.6340923076923077,0.035897435897435895,0.28717948717948716,0.19148936170212766,0.2999846153846154,15.0
62,Jacob Stallings,0.433,0.771,0.0892018779342723,0.2535211267605634,0.17894736842105263,0.32769194312796207,35.5
63,Geraldo Perdomo,0.402,0.7543291139240507,0.10330578512396695,0.1446280991735537,0.25,0.33839240506329116,60.5
64,Ryan Mountcastle,0.359,0.6471615720524018,0.039301310043668124,0.23580786026200873,0.2072072072072072,0.28325327510917037,114.5
65,Garrett Mitchell,0.487,0.8111917098445596,0.10256410256410256,0.3230769230769231,0.11904761904761904,0.34608290155440413,27.857142857142858
66,Ryan O'Hearn,0.353,0.651251282051282,0.09230769230769231,0.1794871794871795,0.17391304347826086,0.29704615384615385,65.0
67,Gavin Lux,0.449,0.8131009615384616,0.12980769230769232,0.2403846153846154,0.17708333333333334,0.3512259615384616,41.6
68,Ceddanne Rafaela,0.35600000000000004,0.6291531531531532,0.018018018018018018,0.25225225225225223,0.19047619047619047,0.2632432432432432,55.5
69,Ryan Jeffers,0.38600000000000007,0.6540271493212669,0.06334841628959276,0.19457013574660634,0.14035087719298245,0.2830859728506787,27.625
70,Pavin Smith,0.557,0.8928101265822785,0.13291139240506328,0.22784810126582278,0.25287356321839083,0.3934493670886076,19.75
71,Christian Encarnacion-Strand,0.293,0.5059241379310345,0.034482758620689655,0.2896551724137931,0.16091954022988506,0.2339655172413793,48.333333333333336
